run_accession,sample_accession,sample_alias,sample_description,first_public,country,scientific_name,fastq_bytes,base_count,read_count,library_name,library_strategy,library_source,library_layout,instrument_platform,instrument_model,study_title,fastq_url,info
SRR26724900,SAMN38109685,B_100,replication = biological replication 4,2024-08-23,China,Bombus terrestris,1894767683;1955444064,8210735400,27369118,B_100,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2000,Studies of gene expression in Bombus terresttirs,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/000/SRR26724900/SRR26724900_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/000/SRR26724900/SRR26724900_2.fastq.gz']","2 GB, 2 GB files; 27.4 million reads; 8210.7 million sequenced bases"
SRR26724903,SAMN38109682,B_9,replication = biological replication 1,2024-08-23,China,Bombus terrestris,1844295287;1889041342,7715668500,25718895,B_9,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2000,Studies of gene expression in Bombus terresttirs,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/003/SRR26724903/SRR26724903_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/003/SRR26724903/SRR26724903_2.fastq.gz']","2 GB, 2 GB files; 25.7 million reads; 7715.7 million sequenced bases"
SRR26724905,SAMN38109714,G_87,replication = biological replication 4,2024-08-23,China,Bombus terrestris,1945709627;1997580004,8215636200,27385454,G_87,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2000,Studies of gene expression in Bombus terresttirs,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/005/SRR26724905/SRR26724905_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/005/SRR26724905/SRR26724905_2.fastq.gz']","2 GB, 2 GB files; 27.4 million reads; 8215.6 million sequenced bases"
SRR26724916,SAMN38109704,B_246,replication = biological replication 4,2024-08-23,China,Bombus terrestris,1474618983;1513832488,6145343400,20484478,B_246,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2000,Studies of gene expression in Bombus terresttirs,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/016/SRR26724916/SRR26724916_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/016/SRR26724916/SRR26724916_2.fastq.gz']","1 GB, 2 GB files; 20.5 million reads; 6145.3 million sequenced bases"
SRR26724922,SAMN38109698,B_39,replication = biological replication 3,2024-08-23,China,Bombus terrestris,1847857324;1883815137,8077096500,26923655,B_39,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2000,Studies of gene expression in Bombus terresttirs,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/022/SRR26724922/SRR26724922_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/022/SRR26724922/SRR26724922_2.fastq.gz']","2 GB, 2 GB files; 26.9 million reads; 8077.1 million sequenced bases"
SRR26724925,SAMN38109696,B_36,replication = biological replication 1,2024-08-23,China,Bombus terrestris,1832008643;1864556359,7943188500,26477295,B_36,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2000,Studies of gene expression in Bombus terresttirs,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/025/SRR26724925/SRR26724925_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/025/SRR26724925/SRR26724925_2.fastq.gz']","2 GB, 2 GB files; 26.5 million reads; 7943.2 million sequenced bases"
SRR26724926,SAMN38109695,B_415,replication = biological replication 5,2024-08-23,China,Bombus terrestris,1742901631;1789855087,7319840700,24399469,B_415,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2000,Studies of gene expression in Bombus terresttirs,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/026/SRR26724926/SRR26724926_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/026/SRR26724926/SRR26724926_2.fastq.gz']","2 GB, 2 GB files; 24.4 million reads; 7319.8 million sequenced bases"
SRR26724899,SAMN38109686,B_527,replication = biological replication 1,2024-08-23,China,Bombus terrestris,2094903359;2126456425,8807180400,29357268,B_527,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2000,Studies of gene expression in Bombus terresttirs,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/099/SRR26724899/SRR26724899_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/099/SRR26724899/SRR26724899_2.fastq.gz']","2 GB, 2 GB files; 29.4 million reads; 8807.2 million sequenced bases"
SRR26724930,SAMN38109691,B_168,replication = biological replication 1,2024-08-23,China,Bombus terrestris,1855857709;1909295499,7727721600,25759072,B_168,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2000,Studies of gene expression in Bombus terresttirs,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/030/SRR26724930/SRR26724930_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/030/SRR26724930/SRR26724930_2.fastq.gz']","2 GB, 2 GB files; 25.8 million reads; 7727.7 million sequenced bases"
SRR26724906,SAMN38109713,G_40,replication = biological replication 3,2024-08-23,China,Bombus terrestris,2054684501;2098790745,8582424900,28608083,G_40,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2000,Studies of gene expression in Bombus terresttirs,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/006/SRR26724906/SRR26724906_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/006/SRR26724906/SRR26724906_2.fastq.gz']","2 GB, 2 GB files; 28.6 million reads; 8582.4 million sequenced bases"
